Model,Prompt,negative,neutral,positive
GPT 3.5,0,29.129129129129126,34.134134134134136,36.73673673673674
GPT 3.5,1,36.23623623623624,31.931931931931935,31.83183183183183
GPT 3.5,3,10.21021021021021,85.38538538538538,4.404404404404405
GPT 3.5,4,13.213213213213212,75.37537537537537,11.411411411411411
GPT 3.5,5,12.912912912912914,76.47647647647648,10.61061061061061
GPT 3.5,6,13.613613613613614,76.87687687687688,9.50950950950951
GPT 3.5,7,41.64164164164164,47.44744744744745,10.91091091091091
GPT 3.5,8,10.11011011011011,75.37537537537537,14.514514514514515
GPT 4,0,18.51851851851852,67.56756756756756,13.913913913913914
GPT 4,1,16.716716716716718,73.67367367367368,9.60960960960961
GPT 4,3,12.951807228915662,82.53012048192771,4.518072289156627
GPT 4,4,11.01101101101101,79.57957957957959,9.40940940940941
GPT 4,5,11.911911911911911,77.27727727727728,10.81081081081081
GPT 4,6,11.31131131131131,79.17917917917919,9.50950950950951
GPT 4,7,9.30930930930931,81.58158158158159,9.10910910910911
GPT 4,8,9.80980980980981,76.87687687687688,13.313313313313312
