Model,Prompt,negative,neutral,positive
GPT 3.5,0,27.697841726618705,35.97122302158273,36.330935251798564
GPT 3.5,1,34.89208633093525,34.89208633093525,30.215827338129497
GPT 3.5,3,7.553956834532374,85.25179856115108,7.1942446043165464
GPT 3.5,4,8.633093525179856,80.57553956834532,10.79136690647482
GPT 3.5,5,8.992805755395683,81.29496402877699,9.712230215827338
GPT 3.5,6,9.352517985611511,78.77697841726618,11.870503597122301
GPT 3.5,7,36.69064748201439,51.798561151079134,11.510791366906476
GPT 3.5,8,5.755395683453238,78.77697841726618,15.467625899280577
GPT 4,0,12.589928057553957,74.10071942446042,13.309352517985612
GPT 4,1,12.589928057553957,76.97841726618705,10.431654676258994
GPT 4,3,10.469314079422382,81.2274368231047,8.303249097472925
GPT 4,4,8.633093525179856,80.2158273381295,11.151079136690647
GPT 4,5,7.553956834532374,79.85611510791367,12.589928057553957
GPT 4,6,8.273381294964029,80.57553956834532,11.151079136690647
GPT 4,7,6.83453237410072,83.09352517985612,10.071942446043165
GPT 4,8,6.115107913669065,79.49640287769785,14.388489208633093
